year,month,temp_anomaly_C,region,co2_ppm,ch4_ppb,n2o_ppb,solar_W_m2,land_use_Gt,date,co2_emissions_Gt,volcanic_flag,aerosol_AOD,months_since_1960,co2_growth,ch4_growth,n2o_growth,co2_ppm_ma12,ch4_ppb_ma12,solar_W_m2_ma12,aerosol_AOD_ma12,cum_aerosol,enso_proxy,co2_x_solar,month_sin,month_cos
1979,1,0.08,Global,336.56,1625.97,316.3,1361.0275,0.0,1979-01-01,0.0,0,0.08,0,0.0,0.0,0.0,336.56,1625.97,1361.0275,0.08,0.0008,0.10760341363492841,0.5928999999982353,0.49999999999999994,0.8660254037844387
1979,1,-0.05,NH,336.56,1625.97,316.3,1361.0275,0.0,1979-01-01,0.0,0,0.08,0,0.0,0.0,0.0,336.56,1625.97,1361.0275,0.08,0.0008,0.10760341363492841,0.5928999999982353,0.49999999999999994,0.8660254037844387
1979,1,0.22,SH,336.56,1625.97,316.3,1361.0275,0.0,1979-01-01,0.0,0,0.08,0,0.0,0.0,0.0,336.56,1625.97,1361.0275,0.08,0.0008,0.10760341363492841,0.5928999999982353,0.49999999999999994,0.8660254037844387
1979,2,-0.1,Global,337.29,1625.97,316.3,1360.9754,0.0,1979-02-01,0.0,0,0.08,1,0.7300000000000182,0.0,0.0,336.925,1625.97,1361.00145,0.08,0.0016,0.11844685364337598,-0.5483339999991977,0.8660254037844386,0.5000000000000001
1979,2,-0.35,NH,337.29,1625.97,316.3,1360.9754,0.0,1979-02-01,0.0,0,0.08,1,0.7300000000000182,0.0,0.0,336.925,1625.97,1361.00145,0.08,0.0016,0.11844685364337598,-0.5483339999991977,0.8660254037844386,0.5000000000000001
1979,2,0.16,SH,337.29,1625.97,316.3,1360.9754,0.0,1979-02-01,0.0,0,0.08,1,0.7300000000000182,0.0,0.0,336.925,1625.97,1361.00145,0.08,0.0016,0.11844685364337598,-0.5483339999991977,0.8660254037844386,0.5000000000000001
1979,3,0.19,Global,337.88,1625.97,316.3,1361.0528,0.0,1979-03-01,0.0,0,0.08,2,0.589999999999975,0.0,0.0,337.24333333333334,1625.97,1361.0185666666666,0.08,0.0024,0.12785250930095304,1.2080639999984848,1.0,6.123233995736766e-17
1979,3,0.18,NH,337.88,1625.97,316.3,1361.0528,0.0,1979-03-01,0.0,0,0.08,2,0.589999999999975,0.0,0.0,337.24333333333334,1625.97,1361.0185666666666,0.08,0.0024,0.12785250930095304,1.2080639999984848,1.0,6.123233995736766e-17
1979,3,0.2,SH,337.88,1625.97,316.3,1361.0528,0.0,1979-03-01,0.0,0,0.08,2,0.589999999999975,0.0,0.0,337.24333333333334,1625.97,1361.0185666666666,0.08,0.0024,0.12785250930095304,1.2080639999984848,1.0,6.123233995736766e-17
1979,4,0.15,Global,338.32,1625.97,316.3,1361.0045,0.0,1979-04-01,0.0,0,0.08,3,0.4399999999999977,0.0,0.0,337.5125,1625.97,1361.01505,0.08,0.0032,0.1357062086892154,0.10494000000016965,0.8660254037844388,-0.4999999999999998
1979,4,-0.17,NH,338.32,1625.97,316.3,1361.0045,0.0,1979-04-01,0.0,0,0.08,3,0.4399999999999977,0.0,0.0,337.5125,1625.97,1361.01505,0.08,0.0032,0.1357062086892154,0.10494000000016965,0.8660254037844388,-0.4999999999999998
1979,4,0.47,SH,338.32,1625.97,316.3,1361.0045,0.0,1979-04-01,0.0,0,0.08,3,0.4399999999999977,0.0,0.0,337.5125,1625.97,1361.01505,0.08,0.0032,0.1357062086892154,0.10494000000016965,0.8660254037844388,-0.4999999999999998
1979,5,0.03,Global,338.26,1625.97,316.3,1361.0646,0.0,1979-05-01,0.0,0,0.08,4,-0.060000000000002274,0.0,0.0,337.662,1625.97,1361.02496,0.08,0.004,0.1419126185364927,1.5025959999983154,0.49999999999999994,-0.8660254037844387
1979,5,0.01,NH,338.26,1625.97,316.3,1361.0646,0.0,1979-05-01,0.0,0,0.08,4,-0.060000000000002274,0.0,0.0,337.662,1625.97,1361.02496,0.08,0.004,0.1419126185364927,1.5025959999983154,0.49999999999999994,-0.8660254037844387
1979,5,0.06,SH,338.26,1625.97,316.3,1361.0646,0.0,1979-05-01,0.0,0,0.08,4,-0.060000000000002274,0.0,0.0,337.662,1625.97,1361.02496,0.08,0.004,0.1419126185364927,1.5025959999983154,0.49999999999999994,-0.8660254037844387
1979,6,0.14,Global,337.39,1625.97,316.3,1361.1339,0.0,1979-06-01,0.0,0,0.08,5,-0.8700000000000045,0.0,0.0,337.6166666666667,1625.97,1361.0431166666667,0.08,0.0048000000000000004,0.14639640143466454,2.998021000000886,1.2246467991473532e-16,-1.0
1979,6,0.08,NH,337.39,1625.97,316.3,1361.1339,0.0,1979-06-01,0.0,0,0.08,5,-0.8700000000000045,0.0,0.0,337.6166666666667,1625.97,1361.0431166666667,0.08,0.0048000000000000004,0.14639640143466454,2.998021000000886,1.2246467991473532e-16,-1.0
1979,6,0.2,SH,337.39,1625.97,316.3,1361.1339,0.0,1979-06-01,0.0,0,0.08,5,-0.8700000000000045,0.0,0.0,337.6166666666667,1625.97,1361.0431166666667,0.08,0.0048000000000000004,0.14639640143466454,2.998021000000886,1.2246467991473532e-16,-1.0
1979,7,0.04,Global,335.57,1625.97,316.3,1361.0612,0.0,1979-07-01,0.0,0,0.08,6,-1.8199999999999932,0.0,0.0,337.32428571428574,1625.97,1361.0457000000001,0.08,0.005600000000000001,0.1491031303332404,1.2588840000020352,-0.4999999999999998,-0.8660254037844388
1979,7,0.05,NH,335.57,1625.97,316.3,1361.0612,0.0,1979-07-01,0.0,0,0.08,6,-1.8199999999999932,0.0,0.0,337.32428571428574,1625.97,1361.0457000000001,0.08,0.005600000000000001,0.1491031303332404,1.2588840000020352,-0.4999999999999998,-0.8660254037844388
1979,7,0.03,SH,335.57,1625.97,316.3,1361.0612,0.0,1979-07-01,0.0,0,0.08,6,-1.8199999999999932,0.0,0.0,337.32428571428574,1625.97,1361.0457000000001,0.08,0.005600000000000001,0.1491031303332404,1.2588840000020352,-0.4999999999999998,-0.8660254037844388
1979,8,0.16,Global,334.37,1625.97,316.3,1361.1856,0.0,1979-08-01,0.0,0,0.08,7,-1.1999999999999886,0.0,0.0,336.955,1625.97,1361.0631875,0.08,0.0064,0.14999994921002374,3.595072000000431,-0.8660254037844384,-0.5000000000000004
1979,8,0.04,NH,334.37,1625.97,316.3,1361.1856,0.0,1979-08-01,0.0,0,0.08,7,-1.1999999999999886,0.0,0.0,336.955,1625.97,1361.0631875,0.08,0.0064,0.14999994921002374,3.595072000000431,-0.8660254037844384,-0.5000000000000004
1979,8,0.29,SH,334.37,1625.97,316.3,1361.1856,0.0,1979-08-01,0.0,0,0.08,7,-1.1999999999999886,0.0,0.0,336.955,1625.97,1361.0631875,0.08,0.0064,0.14999994921002374,3.595072000000431,-0.8660254037844384,-0.5000000000000004
1979,9,0.25,Global,335.02,1625.97,316.3,1361.1848,0.0,1979-09-01,0.0,0,0.08,8,0.6499999999999773,0.0,0.0,336.74,1625.97,1361.0767,0.08,0.0072,0.14907597189871344,3.6996959999999093,-1.0,-1.8369701987210297e-16
1979,9,0.19,NH,335.02,1625.97,316.3,1361.1848,0.0,1979-09-01,0.0,0,0.08,8,0.6499999999999773,0.0,0.0,336.74,1625.97,1361.0767,0.08,0.0072,0.14907597189871344,3.6996959999999093,-1.0,-1.8369701987210297e-16
1979,9,0.31,SH,335.02,1625.97,316.3,1361.1848,0.0,1979-09-01,0.0,0,0.08,8,0.6499999999999773,0.0,0.0,336.74,1625.97,1361.0767,0.08,0.0072,0.14907597189871344,3.6996959999999093,-1.0,-1.8369701987210297e-16
1979,10,0.26,Global,336.36,1625.97,316.3,1361.2353,0.0,1979-10-01,0.0,0,0.08,9,1.3400000000000318,0.0,0.0,336.702,1625.97,1361.09256,0.08,0.008,0.14634241423221594,5.026008000001115,-0.8660254037844386,0.5
1979,10,0.23,NH,336.36,1625.97,316.3,1361.2353,0.0,1979-10-01,0.0,0,0.08,9,1.3400000000000318,0.0,0.0,336.702,1625.97,1361.09256,0.08,0.008,0.14634241423221594,5.026008000001115,-0.8660254037844386,0.5
1979,10,0.29,SH,336.36,1625.97,316.3,1361.2353,0.0,1979-10-01,0.0,0,0.08,9,1.3400000000000318,0.0,0.0,336.702,1625.97,1361.09256,0.08,0.008,0.14634241423221594,5.026008000001115,-0.8660254037844386,0.5
1979,11,0.28,Global,337.36,1625.97,316.3,1361.2403,0.0,1979-11-01,0.0,0,0.08,10,1.0,0.0,0.0,336.76181818181817,1625.97,1361.105990909091,0.08,0.008799999999999999,0.14183245789762725,5.373107999998523,-0.5000000000000004,0.8660254037844384
1979,11,0.24,NH,337.36,1625.97,316.3,1361.2403,0.0,1979-11-01,0.0,0,0.08,10,1.0,0.0,0.0,336.76181818181817,1625.97,1361.105990909091,0.08,0.008799999999999999,0.14183245789762725,5.373107999998523,-0.5000000000000004,0.8660254037844384
1979,11,0.32,SH,337.36,1625.97,316.3,1361.2403,0.0,1979-11-01,0.0,0,0.08,10,1.0,0.0,0.0,336.76181818181817,1625.97,1361.105990909091,0.08,0.008799999999999999,0.14183245789762725,5.373107999998523,-0.5000000000000004,0.8660254037844384
1979,12,0.47,Global,337.89,1625.97,316.3,1361.3182,0.0,1979-12-01,0.0,0,0.08,11,0.5299999999999727,0.0,0.0,336.85583333333335,1625.97,1361.123675,0.08,0.0096,0.13560084765550043,7.283597999998472,-2.4492935982947064e-16,1.0
1979,12,0.54,NH,337.89,1625.97,316.3,1361.3182,0.0,1979-12-01,0.0,0,0.08,11,0.5299999999999727,0.0,0.0,336.85583333333335,1625.97,1361.123675,0.08,0.0096,0.13560084765550043,7.283597999998472,-2.4492935982947064e-16,1.0
1979,12,0.41,SH,337.89,1625.97,316.3,1361.3182,0.0,1979-12-01,0.0,0,0.08,11,0.5299999999999727,0.0,0.0,336.85583333333335,1625.97,1361.123675,0.08,0.0096,0.13560084765550043,7.283597999998472,-2.4492935982947064e-16,1.0
1980,1,0.29,Global,338.57,1625.97,316.3,1361.2766,0.0,1980-01-01,0.0,0,0.08,12,0.6800000000000068,0.0,0.0,337.02333333333337,1625.97,1361.1444333333332,0.08,0.010399999999999998,0.127723226812612,6.519461999998034,0.49999999999999994,0.8660254037844387
1980,1,0.21,NH,338.57,1625.97,316.3,1361.2766,0.0,1980-01-01,0.0,0,0.08,12,0.6800000000000068,0.0,0.0,337.02333333333337,1625.97,1361.1444333333332,0.08,0.010399999999999998,0.127723226812612,6.519461999998034,0.49999999999999994,0.8660254037844387
1980,1,0.38,SH,338.57,1625.97,316.3,1361.2766,0.0,1980-01-01,0.0,0,0.08,12,0.6800000000000068,0.0,0.0,337.02333333333337,1625.97,1361.1444333333332,0.08,0.010399999999999998,0.127723226812612,6.519461999998034,0.49999999999999994,0.8660254037844387
1980,2,0.39,Global,339.26,1625.97,316.3,1361.2686,0.0,1980-02-01,0.0,0,0.08,13,0.6899999999999977,0.0,0.0,337.1875,1625.97,1361.1688666666666,0.08,0.011199999999999998,0.11829521901468665,6.516236000002566,0.8660254037844386,0.5000000000000001
1980,2,0.41,NH,339.26,1625.97,316.3,1361.2686,0.0,1980-02-01,0.0,0,0.08,13,0.6899999999999977,0.0,0.0,337.1875,1625.97,1361.1688666666666,0.08,0.011199999999999998,0.11829521901468665,6.516236000002566,0.8660254037844386,0.5000000000000001
1980,2,0.38,SH,339.26,1625.97,316.3,1361.2686,0.0,1980-02-01,0.0,0,0.08,13,0.6899999999999977,0.0,0.0,337.1875,1625.97,1361.1688666666666,0.08,0.011199999999999998,0.11829521901468665,6.516236000002566,0.8660254037844386,0.5000000000000001
1980,3,0.29,Global,339.6,1625.97,316.3,1361.3152,0.0,1980-03-01,0.0,0,0.08,14,0.34000000000003183,0.0,0.0,337.3308333333333,1625.97,1361.1907333333334,0.08,0.012,0.10743126750487333,7.7539200000001145,1.0,6.123233995736766e-17
1980,3,0.07,NH,339.6,1625.97,316.3,1361.3152,0.0,1980-03-01,0.0,0,0.08,14,0.34000000000003183,0.0,0.0,337.3308333333333,1625.97,1361.1907333333334,0.08,0.012,0.10743126750487333,7.7539200000001145,1.0,6.123233995736766e-17
1980,3,0.52,SH,339.6,1625.97,316.3,1361.3152,0.0,1980-03-01,0.0,0,0.08,14,0.34000000000003183,0.0,0.0,337.3308333333333,1625.97,1361.1907333333334,0.08,0.012,0.10743126750487333,7.7539200000001145,1.0,6.123233995736766e-17
1980,4,0.3,Global,340.0,1625.97,316.3,1361.3546,0.0,1980-04-01,0.0,0,0.08,15,0.39999999999997726,0.0,0.0,337.4708333333333,1625.97,1361.2199083333333,0.08,0.0128,0.09526324593780248,8.86499999999728,0.8660254037844388,-0.4999999999999998
1980,4,0.15,NH,340.0,1625.97,316.3,1361.3546,0.0,1980-04-01,0.0,0,0.08,15,0.39999999999997726,0.0,0.0,337.4708333333333,1625.97,1361.2199083333333,0.08,0.0128,0.09526324593780248,8.86499999999728,0.8660254037844388,-0.4999999999999998
1980,4,0.45,SH,340.0,1625.97,316.3,1361.3546,0.0,1980-04-01,0.0,0,0.08,15,0.39999999999997726,0.0,0.0,337.4708333333333,1625.97,1361.2199083333333,0.08,0.0128,0.09526324593780248,8.86499999999728,0.8660254037844388,-0.4999999999999998
